Plot,BigSurPlot,SiteID,OriginalSampleYear,Forest.Type,,,,,,,,,,,BurnSurvey,Basin,Chalk,,BARCseverity,CBI.mean,CBI.Int,CBI.Big,,,,,2009plot,2010plot,,,,,,,,,,,,,,,,,ownership,,,,,owner,own_category,,GPS.Device,Zone,Easting,Northing,Error.GPS,Averaged.points.GPS,Elevation,TMI,Slope,Plot.Aspect,Overall.Aspect,RoadLocationCategory,RoadUse,Landscape.Location,PlotNotes,Landuse.history,,,,,,,,,,Pram.0607,Pnem.0607,Ppseudo.0607,neg.isolation.0607,Pram2009,Psp2009,neg.isolation.09,samp.notes09,PCR.2009,isol.PCR.09,transect.09,Pram2010,Pnem2010,Ppseudo2010,,neg.isolation.10,PCRnotes10,PCR.10,isol.PCR.10,transect.10,Pram2011,Pnem2011,Ppseudo2011,,neg.isolation.11,Pram2013,Pnem2013,Ppseudo2013,,neg.isolation.13,,,,,,,,,,,,,,,,
279,BS279,BSSLC,2006,2,,1,1,,1,1,0,,,,1,1,0,0,0,1.5,1.125,0.375,1,1,3,"1985, 2008",1,,,,,,,,1,,,,0,,,,,0,2,,no,Yes,Santa Lucia Companyy Property road,Santa Lucia Co.,3,"Santa Lucia Company. Entrance: Santa Lucia Co. road is 4 miles north of Big Creek Reserve. Just north of Burns Creek bridge on the East side of the highway. Need gate combo. After locked gate 4x4 needed, drive 1.0 miles to green gate on upslope (N) side of road. Park on the side of the road by the green gate and 100m before creek crossing, be sure not to block access to the green gate. Walk down the road to the hair pin turn. Head down drainage. Stream crosses under the road, follow the stream down (in 2008, stream is choked w/sticky eupatorium) the creek runs to the south, follow shouth (downstream). Walk 100m to big rock pile, rock cairn or old rock hearth. From the rock pile walk 27m @148degrees to tree w/ tag #735.",UCD Trimble,10,624078,3997439,6,,256,6.950306416,15,253,253,2,6,riparian,"Plot is pretty flat although steep above up to road. This time of year, SESE seem to be loosing a lot of their smaller branches. Sticky eupatorium choking out flowing creek to the north. A lot of suspicious twig symptoms of the SESE.","Wash/erosion channel going through center of plot, probably from road. Evidence of logging. Fire char WAY up into the canopy.",,,,,neg '09,1,1,,,,1,,0,,,none,,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,BS281,BSPRIV,2006,2,1,1,1,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,1,1,2,1985,,,,,,,,,X,,,"Wangoe, human impact",1,1,,,,,2,,no,no,Wangoe,Wangoe,3,"Richard Wangoe. Hot Springs Canyon. Up Richard Wangoe's Road to where creek crosses road, where, as of now, he is building a shed. Park. Head down knob to clearing (man made?) to just above confluence. Not very good GPS coordinates.",Bart ,10,622873,3999060,15,,92,6.055930138,33,180,180,2,4,lower-slope,"Plot is on knob above small confluence. Creeks running this time of year on either side of plot. On E? side of plot, creek is actually in plot, near edge. Cliff at S edge of plot. Dead Lide seen about 40m to the south. Some machete work done on lower branches of SESE and ceonothus in plot. Plot is in narrow swath of trees.",Huge fires scars on SESE.,,,,,X,1,1,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,BS282,BSBCR,2006,1,,1,1,,1,1,0,,1,1,1,1,0,0,1,2.208333333,2.166666667,0.875,1,2,4,"1929,1985, 2008",1,,1,S,1,,,1,1,,,,0,,0,0,0,0,2,yes,yes,no,"Prentice Piece, Upper Dolan Ridge Fire Break, Santa Lucia Company property access",Big Creek Reserve,2,"Big Creek Reserve; Make reservations on line prior to going down. For this plot you should plan on staying in the yurt near the gatehouse. Big Creek Reserve accessed through Santa Lucia Co. Property. Plot is actually on Big Creek Property! But accessed 4 miles north of Big Creek Reserve, via SL Company. Through Santa Lucia Company Property (will need gate combo and 4x4), Park at end of Santa Lucia Company road (southern point near water tower, 3.25miles from highway). Walk up ridge road/trail/new 2008 dozer line.  Enter thick ceonothus area with trail cut thorugh it. When get near top of ridge with Oak woodland cover, (these are teh first real oaks you see up the ridge at the first hint of a shoulder.) head off trail to E-SE. Down through chapparel/poak to bottom of canyon. Very steep, gravelly and brushy. When you get to the bottom of the drainage you can walk along the drainage, ""downstream"" The plot ""straddles"" a knob that comes down to the drainage (but not the first one). Head down canyon and around corner. Plot is on N side of canyon. GPS point taken at top of plot (12.6m and at 285 degrees (with compass) from center). Plot coordiantes NOT adjusted or estimated to be in center but are for edge of plot.",UCD Trimble,10,625505,3996481,3.42,,646,14.29740047,40,116,230,2,1,upper-slope,Steep plot with loose soil and rocks. Plot is right in drainage/canyon that is very dry this time of year. Lots of poak to avoid getting to the plot. Better in fall. Leaf spots on UMCA look like Phytoph but not a very diseased looking area. Thick litter layer. GPS coordinates are for 12.6 from center at 285 degrees. Not adjusted to center.,,1,2011,1,,7,,1,,,,,,1,,,1,,none,1,,,,,,,,,,,1,,,,0,,,,,,,1,,,,"0, PCR",,,,,,,,,,
283,BS283,BSPR,2006,2,,1,,,1,1,0,,1,1,1,1,0,0,"1,2",2.177083333,1.833333333,1.375,0,0,1,2008,1,1,,1,,,1,,,1,,,1,,0,1,1,0,1,yes,yes,no,Tin House Trail,CA State Parks,2,"Julia Pfeiffer Big Sur State Park; Tin House trail. Past Partington Cove on Rt. 1 going south. Park at the signed ""vista point"" & paved turn out w/ a life sized whale painted on the cement. Walk along the highway south. On East side of the highway, there is a gate that leads to an old road cut which is the Tin House trail. Head up to top. Approximately 100m before sign indicating split of tanbark and tinhouse trails is where you should drop down slope (W) towards groups of redwoods. Plot only includes a few redwoods on the downhill side. Use gps from road/trail to get close. Right before the tanbark trail cuts up, on down hill side of the old road cut/trail, head down into the redwoods.  You might be able to exit through ravine at bottom of plot to road, but dont! it is full of dead SESE and has lots of erosion. It is tough to cut over to a place to safely access/drop down to the road.",Bart,10,618664.00,4004717.00,9,,606,7.309301376,33,312,345,2,2,upper-slope,"very heavily infected and devastated areas nearby, pretty much surrounding this plot site. Plot next to big down madrone w/ rootball intact. This plot area is not too badly showing symptoms. Hard packed soil in places. Hard to get around.",,1,2006,1,,11,2,2,2,2,1,,,0,,,1,"culture negative, 2pcr+'s out of 4",0,0,,1,,,,0,,,,,,,,,,1,,,,0,4,,,,,,,,,,,,,,,
287,BS287,BSNCRR,2007,1,,1,1,,1,0,1,,,,0,1,0,0,2,N/A,N/A,N/A,1,2,4,"1939,1985, 2008",,,,,,,,,,,,,,,,,,,2,,no,yes,North Coast Ridge Road/3 George's/USFS,USFS,1,"USFS / 3 Georges/Koenig. End of NCRR. Need 4x4. Contact George Koenig before going out there, they had  no problem w/us going out there when ever we wanted, & now that thier cabin burned down in 2008 I'm sure they would care even less. Do ask about thier driveway down to the house on what condition it is in, b/c in 2007 it was ROUGH! Also ask about gate and if they have it locked. I do know they are trying to sell the place however. Out N. Coast Ridge Road past 3rd and 4th gate at Marble Peak. You have to go through 4 gates. The only way to get through that 3rd gate is to have either try to acquire the FS key (which can be difficult) or with permission/gate combo from Mary Trotter (who owns property at the VERY end of the NCRR) or another private owner past the 3rd gate. You'll need the combination for the 4th gate from Mary. To get to the NCRR; Highway 1; into Ventana Inn and Spa, stay right around fountain and stay right when the road turns left and there is a dirt road and gate in front of you. Enter #2567 into the little box. From the gate go 1.5 miles to second gate. There are a variety of ways to get through this gate. There will be a large 3rd gate, as mentioned above. @ the end there will be a 4th gate that continues past Marble Peak Ranch, ~15miles and over 1hours time, you may want to try to plan on camping out on the NCRR somewhere, (Cold Springs possibly or even on Mary's deck). Stay on main road past Marble Peak Ranch on the west side of the road. Harrington/Cedar's property is on the East side of the road and is marked by a green metal gate. Koenig's driveway is right before the Cedar's property on the west side of the road. Go down their driveway, go through gate (was not latched), 4x4 only, very steep and roungh, to small work cabin on your left and park. Now that there is not a cabin you should still recognize a nice flat knowl under huge trees, beautiful. Walk down hill to N-NW ~75m.",UCD Trimble,10,625037.21,4001501.31,4.7,yes,978,6.085711002,33,290,290,2,4,upper-slope,"Very open forest! Some CWD not making the 20c. Late in season, many of plants are dead. Rocky and loose soil in places. Surrounded by dense ceonothus. Mistletoe in oaks in area.",Very faint trail through center of plot.,,,,,X,,1,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,BS292,BSSLP,2007,1,,0,,,,1,0,,,1,0,0,0,0,n/a,N/A,N/A,N/A,0,0,0,none,1,,1,,1,,,,,,,,0,0,0,0,,,2,yes,yes,no,Cantera Run Road,SLC,4,"Santa Lucia Conservancy. Be sure to make prior arrangements to visit the Preserve. they are really helpful you just need to give them a heads up. Drive a few miles out Carmel Valley road to Rancho San Carlos Road (@ a stop light), go right. Drive over bridge and right afterward the SLP office is on your right, stop in on your first day to say hello. Go back out to main road and turn right. continue strait, past the golf course and past the tennis club both on your left. Proceed to the big gatehouse and check in w/the people there. Typically they give you a tag to hang in your car. Make sure you NEVER park off the pavement, they are VERY worried about starting fires. Look at the map before heading out to be sure you wont need the combination for any gates. Take main road to Cantera Run road. Drive 0.4 miles on Cantera Run road. There is a sandy little turnoff on your left (east side of road) be sure there's no grass at all where you park. You can continue to the end of the road first, where there's a culdesac to turn around in. Drive up to a parking spot (pullout). Park. Walk down ridge through very thick /high chamise. A bit of a battle to get through be ready for walking through some serious brush. Stay on south/south-east of riedge where you'll find more openings and vegetation is more sparse. Before you get to the extra steep, eroding-granite cliff, cut back to the north over the ridge nose and head down into the oaks.Continue through chapparal towards forest below, aiming above and the the right of the emergent SESE below. Opens up into beautiful forest. Must access plot from above due to private property directly below plot.",UCD Trimble,10,602873.40,4038823.13,5,yes,384,6.130859852,10,308,260,2,6,mid-slope,Very dense understory- possibly missed some seedlings. Beautiful forest but difficult to get to. Minor draw to the N. Patchy woodland. Chamise on edge of patch of forest and SESE below plot. A few cankers on trees but associated with cracks.,Trail through lower part of plot- probably pigs.,,,,,-,,1,,,,,,1,,,none,,none,none,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
293,BS293,BSSLP,2006,1,,0,,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,0,0,0,none,,,,,,,,,,,,,,,,,,,2,,yes,no,Rancho San Carolos Road,SLC,4,"Santa Lucia Conservancy. Be sure to make prior arrangements to visit the Preserve. they are really helpful you just need to give them a heads up. Drive a few miles out Carmel Valley road to Rancho San Carlos Road (@ a stop light), go right. Drive over bridge and right afterward the SLP office is on your right, stop in on your first day to say hello. Proceed to the gate and check in w/the people there. Typically they give you a tag to hang in your car. Make sure you NEVER park off the pavement, they are VERY worried about starting fires. Look at the map before heading out to be sure you wont need the combination for any gates. Take Rancho San Carlos Rd past the turnoff to Williams Canyon (to Mittledorf). Park at next pullout along road to the right. Cut across the grassy area on right side of road (to the S). Eventually will get to the fence for the Williams Property. Follow fenceline to corner and then go downhill into forest. Plot is before creek about 30m from edge of forest.",Bart,10,602716,4037725,10,,287,5.391454697,21,210,210,4,6,riparian,Disease in forest. Difficult time getting GPS reading. Coordinates 602716 and 4037759 are taken immediately outside forest edge in grassland. Plot is about 30m S of this.GPS coordinates were adjusted so final coordinates are correct.,"Plot is near grassland that is likely grazed, Cows possibly also in forest.",1,2006,,,11,,2,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,BS294,BSMITT,2006,1,,1,,1,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,0,0,1,2016,,,,,,,,,,,,BSLT,,,,,,,2,,yes,yes,Mittledorf/ Williams Trail,BSLT,4,"BSLT; Mittledorf.  Go in through Santa Lucia Preserve, must gain access each time you go in here. You'll need to talk to the guards at the gathouse. Drive out Williams Canyon Road, it will be a right off of the pavement. You will also have to contact the BSLT to get the combination for the Williams Canyon gate. Drive to the end of the road, you will see a sign pointing to the right to get to the Mittledorf Lodge. Take Mittledorf nature loop to where it meets Williams Creek Trail. Continue along Williams trail until close to GPS then head up off trail to the W.",Bart,10,602386,4035630,7,,513,6.206350803,27,138,138,1,2,lower-slope,"Rocky, loose soil. High High SOD mortality. All small Lide more or less flagged out. We did not get a positive in this plot-strange. Positives all around area. Unfortunately, did not do PCR. Best if in analysis, include this as a positive, resample or exclude(?)",,1,2006,,,11,,2,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,BS295,BSMC,2007,2,,1,1,,,1,0,,1,1,0,0,0,0,n/a,N/A,N/A,N/A,0,0,1,none,1,1,,1,,1,1,,1,,,,0,,,,,0,1,yes,yes,no,Nacimiento Road,USFS,1,"USFS. Nacimiento Road. Up Nacimiento road which is South of Big Creek, until you get into 1st patch of trees. Head down under SESE's. Small parking spot on indland side of road where we head down. Head WAY down very steep hillside of SESE's all the way down to the creek. Plot is near wide spot in creek. You have to head down over a short but very steep area covered in redwood duff w/ loose rocks, be very careful!",UCD Trimble,10,636020.97,3984419.93,5,yes,150,16.69533539,25.5,303,239,2,6,riparian,"ground covered in sorrel. Rocky soil, creek flowing in plot. Very seep in 1/2 of plot. Careful approach, loose rocks! Very steep. Deep redwood duff. Plot is actually in Kirk Creek but in the Mill Creek watershed. Was considered burned for many years but no evidence that it did burn in 2008.",Logging evidence. Huge firescars on SESE's. SESE stumps all over the alluvial plain. ,1,2018,,,0,1,1,1,1,,1,,0,,,1,out of plot samples only,1,1,,,1,,,0,,,,,,,,,,,1,,,0,2,,,,,,2,P.pgChlamydo,1,,,,,,,
296,BS296,BSMC,2006,2,,1,1,,1,1,0,,,,0,0,1,0,n/a,N/A,N/A,N/A,1,1,3,"1999, 2008",1,,,,,,,,1,,,,,,,,,,1,,yes,no,Nacimiento Road,USFS,1,"USFS. Nacimiento Road. From Nacimiento Rd, (at mile marker______ ? ) park at the narrow inward turn where there are a few parking spots next to the creek. Hike along and above drainage on the east side, following the contour so that you wrap around to the confluence of where another drainage comes in from the ~S. This drainage is actually running through the plot center. Sketch on data sheet. From the road you have can go up the drainage to spot where 2nd tributary joins the first (both are waterfills). If you do this you must scale up the cliff side to the plot. It's at the top of the waterfall to the right. We did this in '09 it was scary. You can also try to go from point where drainage meets road, go up east slop and head up @bearing of 50degrees. This route will go through a dirt slide w/a huge down redwood in it. go NE up slope from there over the next hum and then down into drainage. Thsi will be the top of the waterfall. This will put you in the plot. This way is no cake-walk either but may be less dangerous. Be careful!!",Bart,10,637813,3985366,10,,590,14.19834328,40.5,330,286,1,6,lower-slope,Creek flows through the center of the plot.Drainage is steep. Rock outcrop at upper part of plot. ACMA in cover classes is from outside plot,Definitely logging in area. Use trails throughout area and in plot.,,,,,neg '09,1,1,,,,1,,0,,,none,,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,BS297,BSMC,2006,2,,1,1,,1,1,0,,1,1,0,0,1,0,n/a,N/A,N/A,N/A,0,0,2,2008,1,1,,1,,1,1,,1,,,,,,,,,,1,yes,yes,no,Nacimiento Road,USFS,1,"USFS. Nacimiento Road. Up Nacimiento Road 1.2miles after milemarker 4.5, past sharp turn ""innie"" (to the north) where people camp near creek. Parked just past 6 mile marker, but we accessed plot right before 6 mile marker.Right after reflector full of bullet holes, turn out on righ (when going out) (if you miss this you will pass the 6mi marker, go back to 1st sharp turn and park. At turn out walk down @40degrees bearing to the NW drainage bottom. Cross and walk ~20m NW to plot center. Down hill side, steep at first but quickly heads into a beautiful redwood riprarian area. See data sheet for small diagram of plot location.","Bart, Frank",10,639138.00,3985173.00,10,,618,6.934205532,30,148,100,2,6,riparian, Open understory. Plot was designated as ownership 2 (private) but is actually on Forest Service Land.,"Logging camp remains nearby and extensive logging evidence. Old fence post, barbed wire in plot.",1,2006,1,1,11,2,2,2,2,1,1,,0,,,1,"culture negative, 2 pcr positive",0,0,1,,,,,,,,,,,,,,,1,1,1,,0,4,,,,,,,,,,,,,,,
